id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1054996032248379740,The Nest,144076027,Arsh,,Willowridge-Martingrove-Richview,43.6886,-79.53338,Private room,55,1,2,2024-02-01,2,3,75,2,STR-2311-HPMPHX
1055062599082334876,Amazing 1Br Condo with Free Parking,55189108,Janice,,Dufferin Grove,43.65236779380528,-79.4420268060814,Entire home/apt,192,1,2,2023-12-31,1.22,1,319,2,STR-2309-GJBRVS
1052290954147467530,Lovely 1BR + Den Yorkville,551916116,Ryan,,Annex,43.6714,-79.39503,Entire home/apt,199,28,0,,,1,270,0,
1055088800989782132,"RentX|Luxe Yorkville Home w/Hot Tub, Coach House",394146728,RentX,,Annex,43.67311,-79.39271,Entire home/apt,301,30,0,,,3,363,0,
1052293320964643315,Enjoy your stay at a nice home,523342560,Ivory,,Yorkdale-Glen Park,43.7233975,-79.4577481,Private room,64,28,0,,,1,89,0,
1055118835972015822,Cozy Room with CN Tower Views,297952471,Sehaj,,Bay Street Corridor,43.66553,-79.38612,Private room,,1,1,2024-01-21,1,1,0,1,STR-2310-JDBVHZ
1052319083870161124,Entire Loft Style Studio-5 min to Yonge St/Subway,118266643,Lilia,,Willowdale West,43.76733232652706,-79.42488560700643,Entire home/apt,133,2,2,2024-01-28,1.33,1,261,2,STR-2308-HLBPHX
1055133675850994431,Cozy room in a big apartment,506542942,Ismael,,Edenbridge-Humber Valley,43.683989,-79.5167019,Private room,44,28,0,,,1,89,0,
1052330080547592182,"Stylish 2-Bedroom, 2-Bathroom Condo - Free Parking",416677873,Dave,,Waterfront Communities-The Island,43.63867834157999,-79.3983468043899,Entire home/apt,119,28,0,,,2,270,0,
1052469924668705734,Bright & Spacious 1st Floor 2BD,269830330,Svetlana,,Willowdale West,43.76873208085076,-79.43772235427981,Entire home/apt,135,28,0,,,2,147,0,
1055149846531377351,Cozy and luxury room,45781369,Maria Camila,,Church-Yonge Corridor,43.67019,-79.38045,Private room,48,28,0,,,1,133,0,
1052528128007474199,Stylish home close to downtown,4655895,Isabelle,,Blake-Jones,43.67172969540177,-79.337312348507,Private room,120,30,0,,,1,269,0,
1052533951865062831,DT safe Masterroom,40814257,Ginger,,Kensington-Chinatown,43.6527739,-79.4034834,Private room,45,30,0,,,2,133,0,
1052557437735889394,"Luxurious 2BR-2BATH, Parking, Lake View, Balcony",407912988,Dave,,Waterfront Communities-The Island,43.6397827,-79.39794669999999,Entire home/apt,111,28,0,,,8,270,0,
1052562352824756011,Stylish 1-Bedroom plus Den condo with free Parking,407912988,Dave,,Niagara,43.6368952,-79.4068631,Entire home/apt,95,28,0,,,8,269,0,
1055209904345271648,Midtown get away,204868207,Nicki,,Mount Pleasant West,43.70829,-79.39644,Entire home/apt,,30,0,,,1,269,0,
